ID;RK;PICK;CLASS;Height;PLAYER;Min_RecRk;TEAM;CONF;G;ROLE;MIN_PER;PRPG;D_PRPG;BPM;OBPM;DBPM;ORTG;D_RTG;USG;EFG;TS;OR;DR;AST;TO;A_TO;BLK;STL;FTR;FC_40;Dunks;CLOSE2;CLOSE2_PER;FAR 2; FAR2_PER;FT;FT_PER;2P;2P_PER;3P_100;3P;3P_PER;AST;REB;PTS;Dunks_M;Dunks_A;Close2_M;Close2_A;FAR2_M;FAR2_A;FTM;FTA;2PM;2PA;3PM;3PA;Year
1;0.00;-;Jr;06/mai;A.J. Caldwell;19.4;Chattanooga;SC;33;Wing G;72.1;0.7;2.7;0.6;-0.6;1.1;108.8;100.4;10.8;50.3;52.5;2.6;10.2;11.9;20.1;2.2;0.9;1.5;18.2;2.2;0-0;nov/19;.579;abr/13;.308;19-26;.731;15-32;.469;7.1;38-111;.342;2.2;3.1;4.9;;;;;;;;;;;;;
2;10.09;-;Sr;06/mar;Adam Seiko;37;San Diego St.;MWC;29;Combo G;52.7;1.0;2.9;2.3;0.1;2.2;107.6;92.0;11.6;57.0;58.2;1.2;8.5;7.7;18.6;1.1;0.0;1.3;18.2;1.7;0-0;04/jul;.571;ago/20;.400;15-22;.682;dez/27;.444;8.4;38-94;.404;0.9;2.0;5.3;;;;;;;;;;;;;
3;10.21;-;Sr;06/abr;Clayton Henry;0;New Mexico St.;WAC;24;Wing G;45.7;1.6;2.3;2.4;0.6;1.7;117.1;99.2;11.0;53.4;56.0;4.6;11.7;6.8;13.3;1.3;0.8;1.2;17.3;2.5;0-0;jul/19;.368;ago/14;.571;15-18;.833;15-33;.455;7.4;27-71;.380;0.8;3.4;5.1;;;;;;;;;;;;;
4;10.22;-;Jr;06/mai;Trevin Knell;33.6;BYU;WCC;33;Wing G;48.0;1.0;1.8;0.2;-0.0;0.2;104.3;100.6;15.6;51.9;52.9;1.3;8.8;8.4;14.5;1.4;0.3;0.8;10.4;3.3;0-0;ago/15;.533;22-47;.468;13-19;.684;30-62;.484;10.9;43-120;.358;1.0;1.8;6.4;;;;;;;;;;;;;
5;10.59;-;Sr;06/mai;Luke Frampton;0;Western Kentucky;CUSA;29;Wing G;78.3;1.5;2.4;-0.2;0.4;-0.6;109.3;106.2;13.1;53.2;55.9;2.4;8.4;8.0;14.3;1.4;0.6;1.9;15.7;1.7;03/mar;14-25;.560;set/25;.360;28-32;.875;23-50;.460;9.3;57-154;.370;1.5;3.1;8.8;;;;;;;;;;;;;
6;10.60;-;Sr;06/mar;Carter Collins;0;Murray St.;OVC;30;Combo G;50.1;0.5;2.0;0.4;-1.1;1.4;107.6;99.7;11.2;47.2;49.1;2.6;6.9;8.9;15.1;2.0;0.6;1.8;8.9;2.4;04/mai;19-32;.594;0-14;.000;10/nov;.909;19-46;.413;7.3;26-77;.338;1.2;1.7;4.2;;;;;;;;;;;;;
7;11.56;-;Sr;06/jun;Xavier Green;15.2;Maryland;B10;32;Wing G;49.0;0.1;1.8;-0.3;-1.4;1.1;101.1;101.2;8.4;45.8;47.4;4.0;10.4;7.8;17.9;1.8;0.5;1.5;20.8;2.9;01/jan;07/nov;.636;ago/28;.286;set/15;.600;15-39;.385;3.1;dez/33;.364;0.9;2.5;2.3;;;;;;;;;;;;;
8;11.71;-;Sr;06/mai;Caleb Catto;20;Florida Gulf Coast;ASun;32;Combo G;75.2;1.3;1.9;-1.1;-0.3;-0.8;108.8;109.5;14.6;50.2;52.5;3.1;10.6;15.0;16.7;2.0;0.4;1.6;18.7;2.0;05/mai;25-47;.532;dez/34;.353;31-42;.738;35-79;.443;8.4;52-146;.356;2.6;3.8;8.0;;;;;;;;;;;;;
9;11.74;-;Jr;06/mai;Trey Wertz;21;Notre Dame;ACC;33;Scoring PG;45.0;0.7;1.8;0.1;-1.0;1.1;100.5;99.0;14.8;49.6;52.4;0.4;10.2;19.8;21.9;2.1;0.0;1.2;18.3;3.0;0-0;dez/30;.400;set/24;.375;17-21;.810;21-54;.389;6.0;24-61;.393;2.0;1.8;4.0;;;;;;;;;;;;;
10;11.78;-;Jr;06/mai;Spencer Johnson;0;BYU;WCC;33;Wing G;49.1;1.3;2.1;2.5;0.5;1.9;108.4;96.8;14.9;54.7;56.1;4.6;12.1;8.6;17.3;1.1;1.0;1.9;24.7;4.0;0-0;27-37;.730;13-40;.325;24-37;.649;40-77;.519;6.5;28-73;.384;1.0;2.9;5.8;;;;;;;;;;;;;
